x,v
-0.30782,-0.951569
-0.401438,-0.916106
-0.491042,-0.871482
-0.575735,-0.818143
-0.65467,-0.756623
-0.727059,-0.687537
-0.792178,-0.611575
-0.849374,-0.529497
-0.898077,-0.442125
-0.937799,-0.350331
-0.968143,-0.255034
-0.988806,-0.157186
-0.99958,-0.057767
-1.00036,0.04223
-0.991134,0.141805
-0.971998,0.239961
-0.943142,0.335718
-0.904855,0.428118
-0.857518,0.516237
-0.801607,0.599193
-0.73768,0.676157
-0.666376,0.74636
-0.588408,0.809099
-0.504556,0.863748
-0.415658,0.909758
-0.322604,0.946671
-0.226324,0.974118
-0.127781,0.991823
-0.0279594,0.99961
0.0721414,0.997401
0.171521,0.985218
0.269185,0.963183
0.364157,0.931515
0.455488,0.890533
0.542264,0.840646
0.623617,0.782351
0.698734,0.716234
0.766864,0.642954
0.827325,0.563245
0.879513,0.477903
0.922906,0.387782
0.957069,0.293783
0.981662,0.196846
0.996439,0.0979414
1.00125,-0.00194305
0.99605,-0.101808
0.980889,-0.200655
0.955919,-0.297495
0.92139,-0.391361
0.877647,-0.481313
0.825127,-0.566451
0.764356,-0.645926
0.695942,-0.71894
0.620568,-0.784766
0.538989,-0.842744
0.45202,-0.892294
0.36053,-0.932922
0.265435,-0.96422
0.167686,-0.985876
0.06826,-0.997673
-0.0318486,-0.999494
-0.131639,-0.99132
-0.230113,-0.973232
-0.326285,-0.945412
-0.419195,-0.908138
-0.507913,-0.861783
-0.591552,-0.80681
-0.669275,-0.743768
-0.740305,-0.673289
-0.803933,-0.596077
-0.859521,-0.512905
-0.906513,-0.424603
-0.944441,-0.332055
-0.972925,-0.236187
-0.991679,-0.137957
-1.00052,-0.0383471
-0.999348,0.0616461
-0.988187,0.161023
-0.967143,0.258789
-0.936429,0.353968
-0.89635,0.445607
-0.847307,0.53279
-0.789792,0.614645
-0.724378,0.690353
-0.651721,0.759158
-0.572547,0.820372
-0.487647,0.873381
-0.397871,0.917657
-0.304115,0.952757
-0.207319,0.978328
-0.10845,0.994117
-0.00849591,0.999964
0.091543,0.995812
0.190666,0.981701
0.287883,0.957774
0.382221,0.924268
0.472737,0.881521
0.558525,0.829957
0.638728,0.770095
0.712544,0.702531
0.779235,0.627942
0.838133,0.547074
0.888649,0.460735
0.93028,0.369788
0.962607,0.275144
0.985308,0.177748
0.998157,0.0785749
1.00102,-0.0213841
0.99388,-0.121129
0.976798,-0.219663
0.949947,-0.316
0.913597,-0.409178
0.868112,-0.498263
0.813945,-0.582366
0.751639,-0.660645
0.681816,-0.732318
0.605175,-0.796667
0.522482,-0.85305
0.434565,-0.900903
0.342302,-0.939746
0.246616,-0.969192
0.148464,-0.988946
0.0488266,-0.99881
-0.0512985,-0.998687
-0.150911,-0.988576
-0.249014,-0.96858
-0.344627,-0.938898
-0.436793,-0.899827
-0.524592,-0.851758
-0.607145,-0.795171
-0.683626,-0.730632
-0.753271,-0.658787
